system:index,date,ndti_mean,.geo
182,2014-07-02,-0.11599902063348283,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2014-07-03,-0.10939700724350741,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2014-07-04,-0.13732507554911733,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2014-07-05,-0.11734495770103165,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2014-07-06,-0.13879522631385438,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2014-07-07,-0.1253089388897002,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2014-07-08,-0.11600997760027976,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2014-07-09,-0.13247881250256555,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2014-07-10,-0.1042947869009954,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2014-07-11,-0.1285536229751972,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2014-07-12,-0.10610995696384357,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2014-07-13,-0.13973180880567407,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2014-07-14,-0.11190281379498151,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2014-07-15,-0.12453523388529301,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2014-07-16,-0.1343437312315802,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2014-07-17,-0.10635264512831773,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2014-07-18,-0.14466496629485143,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2014-07-19,-0.10861035301812243,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2014-07-20,-0.11586540714638328,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2014-07-21,-0.07815055013051504,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2014-07-22,-0.12415366547555536,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2014-07-23,-0.13173242405895869,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2014-07-24,-0.11124892342363187,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2014-07-25,-0.14120967034759307,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2014-07-26,-0.1015112059508453,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2014-07-27,-0.1345450628842406,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2014-07-28,-0.10352425946554711,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2014-07-29,-0.14282055853184136,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2014-07-30,-0.11496270935284977,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2014-07-31,-0.12771941976272763,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2014-08-01,-0.13681011871357468,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2014-08-02,-0.1250893224318741,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2014-08-03,-0.144647708906127,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2014-08-04,-0.09707107248819322,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2014-08-05,-0.12460864197655595,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2014-08-06,-0.10743921512977075,"{""type"":""MultiPoint"",""coordinates"":[]}"
