system:index,date,sur_refl_b02_mean,.geo
167,2014-06-17,3276.8342812173746,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2014-06-18,2474.783991221184,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2014-06-19,3201.8605627212305,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2014-06-20,2736.7411028222937,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2014-06-21,2599.647941567328,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2014-06-22,3512.5960174069833,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2014-06-23,2531.2241646977204,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2014-06-24,3375.3425393881316,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2014-06-25,2370.1552896051935,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2014-06-26,3230.53343896611,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2014-06-27,2613.480294694502,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2014-06-28,3151.2463529816,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2014-06-29,2942.337025526303,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2014-06-30,2399.508828294948,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2014-07-01,3559.6418300282553,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2014-07-02,2288.838349069409,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2014-07-03,3439.6979429079947,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2014-07-04,2803.9256738433833,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2014-07-05,3615.1712971532875,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2014-07-06,2771.238267515244,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2014-07-07,2482.771774422231,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2014-07-08,3390.006429175701,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2014-07-09,2325.469383405793,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2014-07-10,3361.8628713416538,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2014-07-11,2565.6562170420802,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2014-07-12,3160.9455537553204,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2014-07-13,2658.2423289973253,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2014-07-14,3362.689459092683,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2014-07-15,3314.0059226333788,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2014-07-16,2854.0155725255613,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2014-07-17,3652.845328518615,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2014-07-18,2301.293297739513,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2014-07-19,3525.077746396935,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2014-07-20,3152.9661514255918,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2014-07-21,4301.0378190319925,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2014-07-22,3288.583748097812,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2014-07-23,2354.0982394899456,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2014-07-24,3245.72861702269,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2014-07-25,2392.760990409661,"{""type"":""MultiPoint"",""coordinates"":[]}"
